2024-07-22 01:28:31.336 [info] 




2024-07-22 01:28:31.336 [info] Extension host agent started.
2024-07-22 01:28:31.348 [info] Started initializing default profile extensions in extensions installation folder. file:///home/pyx/.vscode-server/extensions
2024-07-22 01:28:31.360 [info] Completed initializing default profile extensions in extensions installation folder. file:///home/pyx/.vscode-server/extensions
2024-07-22 01:28:31.433 [info] [127.0.0.1][124f4400][ManagementConnection] New connection established.
2024-07-22 01:28:31.459 [info] Installing extensions...
2024-07-22 01:28:31.561 [info] [127.0.0.1][50e53835][ExtensionHostConnection] New connection established.
2024-07-22 01:28:31.832 [info] [127.0.0.1][50e53835][ExtensionHostConnection] <30532> Launched Extension Host Process.
2024-07-22 01:28:32.314 [info] Installing extension 'ms-ceintl.vscode-language-pack-zh-hans'...
2024-07-22 01:28:32.642 [info] Getting Manifest... ms-ceintl.vscode-language-pack-zh-hans
2024-07-22 01:28:32.656 [info] Installing extension: ms-ceintl.vscode-language-pack-zh-hans {"isMachineScoped":true,"isBuiltin":false,"installGivenVersion":false,"isApplicationScoped":true,"installOnlyNewlyAddedFromExtensionPack":true,"profileLocation":{"$mid":1,"fsPath":"/home/pyx/.vscode-server/extensions/extensions.json","external":"file:///home/pyx/.vscode-server/extensions/extensions.json","path":"/home/pyx/.vscode-server/extensions/extensions.json","scheme":"file"},"productVersion":{"version":"1.91.1","date":"2024-07-09T22:08:48.553Z"}}
2024-07-22 01:28:34.512 [info] Extension signature verification result for ms-ceintl.vscode-language-pack-zh-hans: Success. Executed: true. Duration: 1203ms.
2024-07-22 01:28:34.615 [info] Extracted extension to file:///home/pyx/.vscode-server/extensions/ms-ceintl.vscode-language-pack-zh-hans-1.91.2024071009: ms-ceintl.vscode-language-pack-zh-hans
2024-07-22 01:28:34.620 [info] Renamed to /home/pyx/.vscode-server/extensions/ms-ceintl.vscode-language-pack-zh-hans-1.91.2024071009
2024-07-22 01:28:34.631 [info] Adding language packs from the extension ms-ceintl.vscode-language-pack-zh-hans
2024-07-22 01:28:34.646 [info] Extension installed successfully: ms-ceintl.vscode-language-pack-zh-hans file:///home/pyx/.vscode-server/extensions/extensions.json
2024-07-22 01:28:34.648 [info] Extension 'ms-ceintl.vscode-language-pack-zh-hans' v1.91.2024071009 was successfully installed.
2024-07-22 01:29:10.962 [info] [127.0.0.1][124f4400][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
2024-07-22 01:29:10.963 [info] [127.0.0.1][50e53835][ExtensionHostConnection] <30532> Extension Host Process exited with code: 0, signal: null.
2024-07-22 01:29:13.167 [info] [127.0.0.1][dd880283][ManagementConnection] New connection established.
2024-07-22 01:29:13.353 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] New connection established.
2024-07-22 01:29:13.357 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] <30766> Launched Extension Host Process.
2024-07-22 03:07:55.859 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 03:07:56.001 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 03:17:32.984 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 03:18:13.373 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 03:18:17.798 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 05:18:32.577 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 05:18:32.726 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 06:05:58.866 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 06:06:21.944 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 07:13:12.902 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 07:13:13.022 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 15:10:55.143 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 15:10:55.704 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 15:36:39.740 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 15:44:15.510 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 15:44:15.665 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 16:00:12.143 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 16:00:12.236 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 16:15:06.658 [info] [127.0.0.1][7a573d1b][ExtensionHostConnection] The client has reconnected.
2024-07-22 16:15:06.760 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
2024-07-22 16:15:12.125 [info] [127.0.0.1][dd880283][ManagementConnection] The client has reconnected.
